"Step","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return__MIN","Freeway-v4__state_of_art_intrinsic__1__1666557898 - charts/mean_episodic_return__MAX"
"10504192","0","0","0"
"10515584","1","1","1"
"10516736","0","0","0"
"10526848","1","1","1"
"10599936","0","0","0"
"10602880","0","0","0"
"10607872","0","0","0"
"10608512","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"10612224","1","1","1"
"10617856","0","0","0"
"10680320","0","0","0"
"10689152","0","0","0"
"10692992","0","0","0"
"10697216","0","0","0"
"10699776","1","1","1"
"10703232","0","0","0"
"10777344","0","0","0"
"10778368","0","0","0"
"10780672","0","0","0"
"10784128","0","0","0"
"10791040","0","0","0"
"10862464","0","0","0"
"10863104","1","1","1"
"10865280","0.5","0.5","0.5"
"10866816","0.5","0.5","0.5"
"10873984","0","0","0"
"10876544","0","0","0"
"10878336","0","0","0"
"10941696","0","0","0"
"10949888","0","0","0"
"10958464","1","1","1"
"10959488","1","1","1"
"10960256","0","0","0"
"10964480","0","0","0"
"11035136","0","0","0"
"11036928","0","0","0"
"11037312","0","0","0"
"11037568","0","0","0"
"11046400","0","0","0"
"11047552","0","0","0"
"11047680","0","0","0"
"11048192","0","0","0"
"11121792","2","2","2"
"11126656","0","0","0"
"11127168","0","0","0"
"11134080","0","0","0"
"11209088","0","0","0"
"11210112","0","0","0"
"11213056","1","1","1"
"11216384","0","0","0"
"11222656","0","0","0"
"11222912","0","0","0"
"11223936","0","0","0"
"11224320","0","0","0"
"11292288","0","0","0"
"11292928","1","1","1"
"11293312","0","0","0"
"11296640","0.5","0.5","0.5"
"11299072","0","0","0"
"11299712","0","0","0"
"11302144","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"11379968","1","1","1"
"11386496","0","0","0"
"11394560","0","0","0"
"11466624","0","0","0"
"11470848","1","1","1"
"11471360","0.5","0.5","0.5"
"11472512","1","1","1"
"11473792","0","0","0"
"11483136","0","0","0"
"11483520","0","0","0"
"11484800","0","0","0"
"11567232","0.5","0.5","0.5"
"11643648","0","0","0"
"11648256","0","0","0"
"11648512","0","0","0"
"11649024","0","0","0"
"11651840","0.5","0.5","0.5"
"11654528","0","0","0"
"11654784","0","0","0"
"11724288","0","0","0"
"11726464","0","0","0"
"11729792","0","0","0"
"11733760","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"11734144","0","0","0"
"11736576","0","0","0"
"11740160","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"11811584","0","0","0"
"11815040","0","0","0"
"11816320","2","2","2"
"11824000","1","1","1"
"11826944","0","0","0"
"11828736","0","0","0"
"11906560","1","1","1"
"11912064","0.5","0.5","0.5"
"11914112","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"11914368","0","0","0"
"11915776","0","0","0"
"11919488","0","0","0"
"11981440","0","0","0"
"11999232","0","0","0"
"12008320","0","0","0"
"12080128","0","0","0"
"12080768","0","0","0"
"12082944","0","0","0"
"12086144","0","0","0"
"12086528","0","0","0"
"12095104","1","1","1"
"12157312","0","0","0"
"12165632","0","0","0"
"12166784","0","0","0"
"12167680","0","0","0"
"12172800","0","0","0"
"12174336","0","0","0"
"12175104","0","0","0"
"12175360","0","0","0"
"12180352","0","0","0"
"12246784","0","0","0"
"12255104","0.5","0.5","0.5"
"12259456","0","0","0"
"12261888","0","0","0"
"12262528","2","2","2"
"12262912","1","1","1"
"12263168","2","2","2"
"12264832","0","0","0"
"12265856","0","0","0"
"12267264","0.5","0.5","0.5"
"12332800","0","0","0"
"12333056","0","0","0"
"12334848","0","0","0"
"12335488","0","0","0"
"12336384","0","0","0"
"12337920","0","0","0"
"12349440","0","0","0"
"12350592","0","0","0"
"12424704","0","0","0"
"12426496","1","1","1"
"12437760","0","0","0"
"12438272","0","0","0"
"12511104","0","0","0"
"12511616","0","0","0"
"12518016","0","0","0"
"12519808","0","0","0"
"12521984","1","1","1"
"12527104","0","0","0"
"12528768","0","0","0"
"12529152","0","0","0"
"12598784","0","0","0"
"12607360","0","0","0"
"12608640","0","0","0"
"12615040","1","1","1"
"12615680","0","0","0"
"12688256","0.5","0.5","0.5"
"12689536","0","0","0"
"12689920","0","0","0"
"12694400","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"12698240","0","0","0"
"12698752","0","0","0"
"12701568","0","0","0"
"12703104","0","0","0"
"12769408","0","0","0"
"12783744","1","1","1"
"12785792","0","0","0"
"12860288","1","1","1"
"12862848","0","0","0"
"12864512","1","1","1"
"12869120","0","0","0"
"12871808","0","0","0"
"12873344","0","0","0"
"12876032","0","0","0"
"12948480","0","0","0"
"12951040","0","0","0"
"12954752","0.5","0.5","0.5"
"12955136","0.5","0.5","0.5"
"12957312","0.6666666865348816","0.6666666865348816","0.6666666865348816"
"12957696","0","0","0"
"12962560","0","0","0"
"13026048","0","0","0"
"13040896","0","0","0"
"13042560","0","0","0"
"13044992","0","0","0"
"13045632","0","0","0"
"13046400","1","1","1"
"13113472","0","0","0"
"13123200","0","0","0"
"13130368","0","0","0"
"13131520","0","0","0"
"13131904","0","0","0"
"13136640","0","0","0"
"13136896","0","0","0"
"13198848","0","0","0"
"13200640","0","0","0"
