"Step","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return__MIN","Freeway-v4__my_baseline_intrinsic__1__1664396756 - charts/mean_episodic_return__MAX"
"16260096","0","0","0"
"16334720","0","0","0"
"16337280","0","0","0"
"16337536","2","2","2"
"16338816","0","0","0"
"16340992","1","1","1"
"16353408","0","0","0"
"16420096","1","1","1"
"16423296","0.5","0.5","0.5"
"16431104","0","0","0"
"16432768","0","0","0"
"16437120","0","0","0"
"16509824","0","0","0"
"16519552","2","2","2"
"16522240","0","0","0"
"16528896","1","1","1"
"16532864","1","1","1"
"16600704","0","0","0"
"16604160","0","0","0"
"16605696","0","0","0"
"16685440","0","0","0"
"16686464","0","0","0"
"16692992","0.5","0.5","0.5"
"16696064","1","1","1"
"16698240","0","0","0"
"16770688","0","0","0"
"16772736","0","0","0"
"16773632","0","0","0"
"16775296","0","0","0"
"16778880","0","0","0"
"16780288","0","0","0"
"16783104","0","0","0"
"16856448","0","0","0"
"16939776","0","0","0"
"16945792","0","0","0"
"16950016","0","0","0"
"16953344","0","0","0"
"16964736","0","0","0"
"17025408","0","0","0"
"17031808","0","0","0"
"17035136","0","0","0"
"17117952","0","0","0"
"17133312","0","0","0"
"17136128","0","0","0"
"17218304","0","0","0"
"17222656","0","0","0"
"17307648","0","0","0"
"17385216","0","0","0"
"17392128","1","1","1"
"17393280","1.3333333730697632","1.3333333730697632","1.3333333730697632"
"17396224","1","1","1"
"17463808","1","1","1"
"17478784","0","0","0"
"17479936","0.5","0.5","0.5"
"17482240","1","1","1"
"17484928","0","0","0"
"17554560","1","1","1"
"17559296","0","0","0"
"17642496","0","0","0"
"17644672","0","0","0"
"17648000","1","1","1"
"17652096","0.5","0.5","0.5"
"17662208","0","0","0"
"17731968","0","0","0"
"17739392","0","0","0"
"17742720","0","0","0"
"17817856","0","0","0"
"17822080","0","0","0"
"17826304","0","0","0"
"17833344","0","0","0"
"17903872","0","0","0"
"17911680","0","0","0"
"17912832","0","0","0"
"17915392","0","0","0"
"17920000","0","0","0"
"17921664","0","0","0"
"17981312","0","0","0"
"17986432","0","0","0"
"18005248","0","0","0"
"18005632","1","1","1"
"18078336","2","2","2"
"18082688","2","2","2"
"18103936","2","2","2"
"18159360","1","1","1"
"18162944","3","3","3"
"18163968","2.6666667461395264","2.6666667461395264","2.6666667461395264"
"18171136","1","1","1"
"18173056","1.5","1.5","1.5"
"18175360","3","3","3"
"18256128","1","1","1"
"18256384","4","4","4"
"18338432","4","4","4"
"18338688","8","8","8"
"18339200","5","5","5"
"18342784","7","7","7"
"18349696","4","4","4"
"18350592","8","8","8"
"18356608","7","7","7"
"18360192","12","12","12"
"18442752","8","8","8"
"18511744","5","5","5"
"18533632","4","4","4"
"18597760","3","3","3"
"18599040","3","3","3"
"18603520","3","3","3"
"18605568","3.3333332538604736","3.3333332538604736","3.3333332538604736"
"18605696","7","7","7"
"18611072","2","2","2"
"18617088","3.5","3.5","3.5"
"18685440","3","3","3"
"18686848","2","2","2"
"18689152","1","1","1"
"18689664","1.5","1.5","1.5"
"18691584","0","0","0"
"18759424","0","0","0"
"18769152","1","1","1"
"18770560","0","0","0"
"18772224","0","0","0"
"18776448","0.25","0.25","0.25"
"18785280","0","0","0"
"18855168","1","1","1"
"18857600","0","0","0"
"18860032","0","0","0"
"18862720","0","0","0"
"18866816","0","0","0"
"18869120","1","1","1"
"18869248","0","0","0"
"18945536","2","2","2"
"18946560","0","0","0"
"18947200","1","1","1"
"18947968","0","0","0"
"18964608","0","0","0"
"18971520","0","0","0"
"18973056","4","4","4"
"19044096","1.6666666269302368","1.6666666269302368","1.6666666269302368"
"19119872","1","1","1"
"19129216","0","0","0"
"19131136","2","2","2"
"19138688","1","1","1"
"19143552","4","4","4"
"19203584","2","2","2"
"19208192","1.5","1.5","1.5"
"19209216","1","1","1"
"19211136","0","0","0"
"19214848","3","3","3"
"19298432","1.5","1.5","1.5"
"19305472","0","0","0"
"19369088","0","0","0"
"19384064","0","0","0"
"19466752","0","0","0"
"19467776","0","0","0"
"19472384","0.5","0.5","0.5"
"19473152","0","0","0"
