"Step","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return__MIN","MsPacman-v4__state_of_art_intrinsic__1__1666220828 - charts/mean_episodic_return__MAX"
"11230464","400","400","400"
"11250432","220","220","220"
"11252992","260","260","260"
"11261440","273.3333435058594","273.3333435058594","273.3333435058594"
"11282944","330","330","330"
"11293440","306","306","306"
"11301248","290","290","290"
"11331712","320","320","320"
"11350144","480","480","480"
"11371008","525","525","525"
"11385344","710","710","710"
"11386240","1030","1030","1030"
"11410944","300","300","300"
"11427712","240","240","240"
"11454336","270","270","270"
"11477248","365","365","365"
"11486592","380","380","380"
"11495040","235","235","235"
"11498240","250","250","250"
"11518464","450","450","450"
"11525888","350","350","350"
"11533312","570","570","570"
"11534336","740","740","740"
"11546368","350","350","350"
"11568128","130","130","130"
"11574144","440","440","440"
"11574784","325","325","325"
"11601280","1120","1120","1120"
"11635200","810","810","810"
"11650048","300","300","300"
"11715328","260","260","260"
"11725312","590","590","590"
"11728128","315","315","315"
"11789312","360","360","360"
"11794944","350","350","350"
"11875328","315","315","315"
"11893888","250","250","250"
"11895168","470","470","470"
"11896192","270","270","270"
"11930752","220","220","220"
"11937664","320","320","320"
"11953920","280","280","280"
"11956224","505","505","505"
"11981952","700","700","700"
"12003584","913.3333129882812","913.3333129882812","913.3333129882812"
"12003840","230","230","230"
"12030080","520","520","520"
"12076288","670","670","670"
"12092416","330","330","330"
"12161024","330","330","330"
"12174208","370","370","370"
"12203904","290","290","290"
"12214784","230","230","230"
"12232192","330","330","330"
"12236928","230","230","230"
"12258688","220","220","220"
"12267008","540","540","540"
"12285952","460","460","460"
"12286336","225","225","225"
"12292736","330","330","330"
"12301824","480","480","480"
"12351744","960","960","960"
"12362112","460","460","460"
"12367360","305","305","305"
"12378496","490","490","490"
"12384384","390","390","390"
"12455296","310","310","310"
"12464512","420","420","420"
"12472576","390","390","390"
"12513152","420","420","420"
"12537856","250","250","250"
"12556160","220","220","220"
"12579328","370","370","370"
"12593024","360","360","360"
"12595456","350","350","350"
"12654592","330","330","330"
"12667520","250","250","250"
"12713216","340","340","340"
"12717696","380","380","380"
"12719232","410","410","410"
"12719744","436.6666564941406","436.6666564941406","436.6666564941406"
"12727680","240","240","240"
"12751232","320","320","320"
"12755840","370","370","370"
"12771456","1160","1160","1160"
"12814464","210","210","210"
"12822400","270","270","270"
"12829824","360","360","360"
