"Step","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return__MIN","Riverraid-v4__my_baseline_intrinsic__1__1664407002 - charts/mean_episodic_return__MAX"
"6437888","1740","1740","1740"
"6461568","1890","1890","1890"
"6465024","1770","1770","1770"
"6480256","2120","2120","2120"
"6489344","2040","2040","2040"
"6502784","1830","1830","1830"
"6506496","1680","1680","1680"
"6526464","1590","1590","1590"
"6551296","2300","2300","2300"
"6645760","2380","2380","2380"
"6657536","2020","2020","2020"
"6703616","1830","1830","1830"
"6721664","1780","1780","1780"
"6728704","1440","1440","1440"
"6756352","1670","1670","1670"
"6821760","1515","1515","1515"
"6824832","2150","2150","2150"
"6858368","1660","1660","1660"
"6878720","2270","2270","2270"
"6883456","1930","1930","1930"
"6925056","1710","1710","1710"
"6931584","1810","1810","1810"
"6954112","1880","1880","1880"
"6974336","1720","1720","1720"
"7005184","1840","1840","1840"
"7011584","1963.3333740234375","1963.3333740234375","1963.3333740234375"
"7012864","1470","1470","1470"
"7027072","1810","1810","1810"
"7037824","2400","2400","2400"
"7065984","2250","2250","2250"
"7070976","1000","1000","1000"
"7111296","1870","1870","1870"
"7114752","2370","2370","2370"
"7119232","1740","1740","1740"
"7126400","2270","2270","2270"
"7130368","2100","2100","2100"
"7133312","1830","1830","1830"
"7194368","2130","2130","2130"
"7202304","2130","2130","2130"
"7204096","1790","1790","1790"
"7217792","1970","1970","1970"
"7224320","2230","2230","2230"
"7271424","1680","1680","1680"
"7356160","2180","2180","2180"
"7358208","2020","2020","2020"
"7402624","1350","1350","1350"
"7404032","1560","1560","1560"
"7414272","2010","2010","2010"
"7416192","2540","2540","2540"
"7428096","2220","2220","2220"
"7444096","1400","1400","1400"
"7459712","1840","1840","1840"
"7501952","2170","2170","2170"
"7509376","2370","2370","2370"
"7521408","2140","2140","2140"
"7569408","2100","2100","2100"
"7631616","2200","2200","2200"
"7638528","2030","2030","2030"
"7722496","1640","1640","1640"
"7746816","1670","1670","1670"
"7763712","2790","2790","2790"
"7787904","2140","2140","2140"
"7800576","2220","2220","2220"
"7830912","2110","2110","2110"
"7835520","2100","2100","2100"
"7837568","2080","2080","2080"
"7844096","2110","2110","2110"
"7848064","2270","2270","2270"
"7888256","1950","1950","1950"
"7917056","2730","2730","2730"
"7925248","2530","2530","2530"
"7938048","2020","2020","2020"
"7940096","2010","2010","2010"
"7949056","2570","2570","2570"
"7954816","2220","2220","2220"
"7961472","1600","1600","1600"
"7966080","2090","2090","2090"
"7978496","2250","2250","2250"
"8003072","1780","1780","1780"
"8010496","2330","2330","2330"
"8029568","1850","1850","1850"
"8058880","2000","2000","2000"
"8100096","1840","1840","1840"
"8108160","1480","1480","1480"
"8159360","2680","2680","2680"
"8172928","2730","2730","2730"
"8186240","2480","2480","2480"
"8240512","2270","2270","2270"
"8240896","2215","2215","2215"
"8252672","2140","2140","2140"
"8299904","1800","1800","1800"
"8315648","1930","1930","1930"
"8334208","1650","1650","1650"
"8353152","2400","2400","2400"
"8382208","1790","1790","1790"
"8384128","2120","2120","2120"
"8402432","2435","2435","2435"
"8450176","2100","2100","2100"
"8454016","1990","1990","1990"
"8497920","1940","1940","1940"
"8510592","2290","2290","2290"
"8539520","1680","1680","1680"
"8544768","2380","2380","2380"
"8569216","2160","2160","2160"
"8593536","2200","2200","2200"
"8598912","2150","2150","2150"
"8605824","2240","2240","2240"
"8617088","2720","2720","2720"
"8634112","2115","2115","2115"
"8645888","1470","1470","1470"
"8658688","2510","2510","2510"
"8672768","2360","2360","2360"
"8688896","2410","2410","2410"
"8719616","2040","2040","2040"
"8728064","1980","1980","1980"
"8738560","2570","2570","2570"
"8739200","2610","2610","2610"
"8808064","1520","1520","1520"
"8841600","1900","1900","1900"
"8843264","1770","1770","1770"
"8859776","2130","2130","2130"
"8866048","2030","2030","2030"
"8867968","2250","2250","2250"
"8885632","2380","2380","2380"
"8897664","2640","2640","2640"
"8923136","1990","1990","1990"
"8932864","2330","2330","2330"
"8951424","2630","2630","2630"
"8952832","1990","1990","1990"
"8961536","2100","2100","2100"
"8979200","1930","1930","1930"
"8984704","2320","2320","2320"
"9004544","1970","1970","1970"
"9007104","2290","2290","2290"
"9019008","2780","2780","2780"
"9060992","2610","2610","2610"
"9071360","2155","2155","2155"
"9081216","2040","2040","2040"
"9087488","2380","2380","2380"
"9107328","1340","1340","1340"
"9108224","2440","2440","2440"
"9131520","1460","1460","1460"
"9153792","2150","2150","2150"
"9184256","2270","2270","2270"
"9184512","1710","1710","1710"
"9191424","2300","2300","2300"
"9254016","1720","1720","1720"
"9258496","2210","2210","2210"
"9261440","1750","1750","1750"
"9291648","1560","1560","1560"
"9292800","1320","1320","1320"
"9342976","2030","2030","2030"
"9347968","1540","1540","1540"
"9350144","1480","1480","1480"
"9363840","1630","1630","1630"
"9380352","1380","1380","1380"
"9384448","2300","2300","2300"
"9391232","1620","1620","1620"
"9392384","1810","1810","1810"
"9400320","1530","1530","1530"
"9405952","1655","1655","1655"
"9408640","1730","1730","1730"
"9431296","1830","1830","1830"
"9451008","1760","1760","1760"
"9493504","1360","1360","1360"
"9500800","1920","1920","1920"
"9506304","1715","1715","1715"
"9524864","1950","1950","1950"
"9528576","1750","1750","1750"
"9535744","1750","1750","1750"
"9538560","1890","1890","1890"
"9551232","1740","1740","1740"
"9558272","1030","1030","1030"
"9562112","1440","1440","1440"
"9562624","1390","1390","1390"
"9576320","1810","1810","1810"
"9582976","1820","1820","1820"
"9587072","1600","1600","1600"
"9642880","1115","1115","1115"
"9673728","1660","1660","1660"
"9676032","1250","1250","1250"
"9686400","1453.3333740234375","1453.3333740234375","1453.3333740234375"
"9713664","1980","1980","1980"
"9723648","820","820","820"
"9728896","1920","1920","1920"
"9732864","1610","1610","1610"
"9737856","1760","1760","1760"
"9747072","1720","1720","1720"
"9773056","1620","1620","1620"
"9798016","2080","2080","2080"
"9827584","1795","1795","1795"
"9847808","1680","1680","1680"
"9859584","1450","1450","1450"
"9863296","1810","1810","1810"
"9878528","2000","2000","2000"
"9888640","1050","1050","1050"
"9908352","1680","1680","1680"
"9946496","1600","1600","1600"
"9972352","1560","1560","1560"
"9974784","1780","1780","1780"
"9995008","1340","1340","1340"
"9998336","1150","1150","1150"
"10006400","1450","1450","1450"
"10014464","1340","1340","1340"
"10020224","1030","1030","1030"
"10028160","1890","1890","1890"
"10034816","1370","1370","1370"
"10034944","1620","1620","1620"
"10035456","1850","1850","1850"
"10055424","1740","1740","1740"
"10058112","1070","1070","1070"
"10071040","1530","1530","1530"
"10116864","1740","1740","1740"
"10131072","1910","1910","1910"
"10147072","1570","1570","1570"
"10162048","1430","1430","1430"
"10164864","1830","1830","1830"
"10168064","1810","1810","1810"
"10184576","1990","1990","1990"
"10188032","1325","1325","1325"
"10189568","1680","1680","1680"
"10199552","2120","2120","2120"
"10238464","1490","1490","1490"
"10240128","1740","1740","1740"
"10267008","1130","1130","1130"
"10278784","1100","1100","1100"
"10285184","1580","1580","1580"
"10293504","1600","1600","1600"
"10297856","1560","1560","1560"
"10325504","1160","1160","1160"
"10333568","1580","1580","1580"
"10343040","1400","1400","1400"
"10365568","630","630","630"
"10389376","1280","1280","1280"
"10398848","2060","2060","2060"
"10413056","1430","1430","1430"
"10435968","1530","1530","1530"
"10438528","1390","1390","1390"
"10467584","1490","1490","1490"
"10474112","1400","1400","1400"
"10488192","1860","1860","1860"
"10493824","1505","1505","1505"
"10494080","1690","1690","1690"
"10507136","1560","1560","1560"
"10513664","1490","1490","1490"
"10521216","1190","1190","1190"
"10521728","1760","1760","1760"
"10536448","1660","1660","1660"
"10557056","1310","1310","1310"
"10557952","1720","1720","1720"
"10564480","1370","1370","1370"
"10574592","1535","1535","1535"
"10603392","1340","1340","1340"
"10609152","1450","1450","1450"
"10612864","1310","1310","1310"
"10628608","1670","1670","1670"
"10651264","1615","1615","1615"
"10651520","2360","2360","2360"
"10663424","1490","1490","1490"
"10665344","1600","1600","1600"
"10667776","1430","1430","1430"
"10673664","1820","1820","1820"
"10675840","1250","1250","1250"
"10701696","1590","1590","1590"
"10702336","1790","1790","1790"
"10733056","1780","1780","1780"
"10761088","1860","1860","1860"
"10761984","1490","1490","1490"
"10768128","1500","1500","1500"
"10770048","1620","1620","1620"
"10770816","1440","1440","1440"
"10790784","1460","1460","1460"
"10791040","1360","1360","1360"
"10808704","1780","1780","1780"
"10817024","1660","1660","1660"
"10844800","950","950","950"
"10871296","1335","1335","1335"
"10889728","1910","1910","1910"
"10891136","2180","2180","2180"
"10902400","1310","1310","1310"
"10906240","1670","1670","1670"
"10916992","1170","1170","1170"
"10951424","2260","2260","2260"
"10958848","1440","1440","1440"
"10959872","2000","2000","2000"
"10974336","1740","1740","1740"
"10984832","1840","1840","1840"
"11002368","2235","2235","2235"
"11018880","1650","1650","1650"
"11052416","1890","1890","1890"
"11066240","1510","1510","1510"
"11074560","1980","1980","1980"
"11078656","1210","1210","1210"
"11094272","1540","1540","1540"
"11096832","1750","1750","1750"
"11129728","2170","2170","2170"
"11142272","2180","2180","2180"
"11161856","2020","2020","2020"
"11165312","2000","2000","2000"
"11180288","1650","1650","1650"
"11180544","1630","1630","1630"
"11192832","1240","1240","1240"
"11210880","1630","1630","1630"
"11241600","1830","1830","1830"
"11252608","1950","1950","1950"
"11253888","1600","1600","1600"
"11260800","1630","1630","1630"
"11284352","1420","1420","1420"
"11284992","1640","1640","1640"
"11290496","1970","1970","1970"
"11299328","1610","1610","1610"
"11322496","1770","1770","1770"
"11323136","1610","1610","1610"
"11327104","1870","1870","1870"
"11327616","1630","1630","1630"
"11340544","1600","1600","1600"
"11341184","2040","2040","2040"
"11342976","860","860","860"
"11345536","1800","1800","1800"
"11347712","1645","1645","1645"
"11381504","1970","1970","1970"
"11382400","1350","1350","1350"
"11403264","1830","1830","1830"
"11422976","1980","1980","1980"
"11443712","1340","1340","1340"
"11444096","1510","1510","1510"
"11475712","2490","2490","2490"
"11486976","1550","1550","1550"
"11545600","1770","1770","1770"
"11547648","2085","2085","2085"
"11576320","1640","1640","1640"
"11579776","1810","1810","1810"
"11591680","1790","1790","1790"
"11609216","1840","1840","1840"
"11613056","1720","1720","1720"
"11628288","2230","2230","2230"
"11629824","1710","1710","1710"
"11633664","1650","1650","1650"
"11655168","1390","1390","1390"
"11684992","2320","2320","2320"
"11697152","1860","1860","1860"
"11701888","1440","1440","1440"
"11708288","2000","2000","2000"
"11711872","1310","1310","1310"
"11742592","1820","1820","1820"
"11754112","1470","1470","1470"
"11771136","2040","2040","2040"
"11802880","1850","1850","1850"
"11814144","1570","1570","1570"
"11814400","1290","1290","1290"
"11821952","1810","1810","1810"
"11834880","1540","1540","1540"
"11844992","1630","1630","1630"
"11861632","1730","1730","1730"
"11864960","1440","1440","1440"
"11871872","1400","1400","1400"
"11891840","1900","1900","1900"
"11902080","1760","1760","1760"
"11904128","1395","1395","1395"
"11922688","1790","1790","1790"
"11928064","1540","1540","1540"
"11946112","1640","1640","1640"
"11963648","1800","1800","1800"
"11984768","1820","1820","1820"
"12006400","1940","1940","1940"
"12030336","1910","1910","1910"
"12030976","1820","1820","1820"
"12049408","1990","1990","1990"
"12051712","2050","2050","2050"
"12055296","1805","1805","1805"
"12059264","1800","1800","1800"
"12094464","1495","1495","1495"
"12113280","1620","1620","1620"
"12121472","2145","2145","2145"
"12176128","1270","1270","1270"
"12177664","1260","1260","1260"
"12179200","2030","2030","2030"
"12183680","1910","1910","1910"
"12229760","1770","1770","1770"
"12235008","1280","1280","1280"
"12258432","2100","2100","2100"
"12274432","1970","1970","1970"
"12284160","1820","1820","1820"
