"Step","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1667413438 - charts/mean_episodic_return__MAX","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MIN","Atlantis-v4__state_of_art_intrinsic__1__1666563163 - charts/mean_episodic_return__MAX","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MIN","Atlantis-v4__my_baseline_intrinsic__1__1665746971 - charts/mean_episodic_return__MAX"
"243312","5700","5700","5700","","","","","",""
"243680","9100","9100","9100","","","","","",""
"243840","","","","3900","3900","3900","","",""
"243872","9300","9300","9300","","","","","",""
"243968","","","","12500","12500","12500","","",""
"244880","8500","8500","8500","","","","","",""
"245104","13500","13500","13500","","","","","",""
"246400","","","","6400","6400","6400","","",""
"246832","6600","6600","6600","","","","","",""
"246912","4900","4900","4900","","","","","",""
"247552","","","","8500","8500","8500","","",""
"248064","24300","24300","24300","","","","","",""
"248112","6000","6000","6000","","","","","",""
"248704","","","","11433.3330078125","11433.3330078125","11433.3330078125","","",""
"249808","17700","17700","17700","","","","","",""
"249856","","","","7200","7200","7200","","",""
"250624","","","","","","","9800","9800","9800"
"250752","","","","5400","5400","5400","","",""
"250880","","","","14400","14400","14400","","",""
"251520","12700","12700","12700","","","","","",""
"251824","7800","7800","7800","","","","","",""
"252032","","","","","","","8300","8300","8300"
"252496","9000","9000","9000","","","","","",""
"254496","9800","9800","9800","","","","","",""
"254544","6900","6900","6900","","","","","",""
"254848","11400","11400","11400","","","","","",""
"255616","7000","7000","7000","9700","9700","9700","","",""
"256864","10300","10300","10300","","","","","",""
"257536","","","","8900","8900","8900","","",""
"258304","","","","13400","13400","13400","","",""
"258416","12800","12800","12800","","","","","",""
"258560","","","","","","","15400","15400","15400"
"258688","","","","","","","10100","10100","10100"
"258912","5400","5400","5400","","","","","",""
"259200","","","","","","","17100","17100","17100"
"259456","","","","4300","4300","4300","","",""
"259504","6200","6200","6200","","","","","",""
